NAMESPACE   NAME                                GATEWAYS                        HOSTS                        AGE
default     express-virtualservice              ["dashboards-gateway-1"]        ["mongo.oss"]                134d
default     forwarder-airflow-virtualservice    ["dashboards-gateway-1"]        ["forwarder.airflow.oss"]    134d
default     forwarder-frontend-virtualservice   ["dashboards-gateway-1"]        ["forwarder.frontend.oss"]   134d
default     forwarder-monitor-virtualservice    ["dashboards-gateway-1"]        ["forwarder.monitor.oss"]    134d
default     grafana-virtualservice              ["dashboards-gateway-1"]        ["grafana.oss"]              134d
default     kiali-virtualservice                ["dashboards-gateway-1"]        ["kiali.oss"]                134d
default     kubeflow-minio-virtualservice       ["dashboards-gateway-1"]        ["kubeflow.minio.oss"]       134d
default     kubeflow-virtualservice             ["dashboards-gateway-1"]        ["kubeflow.oss"]             134d
default     minio-server-virtualservice         ["minio-gateway"]               ["*"]                        134d
default     minio-virtualservice                ["dashboards-gateway-1"]        ["minio.oss"]                134d
default     mlflow-minio-virtualservice         ["dashboards-gateway-1"]        ["mlflow.minio.oss"]         134d
default     mlflow-virtualservice               ["dashboards-gateway-1"]        ["mlflow.oss"]               134d
default     mongo-virtualservice                ["mongo-gateway"]               ["*"]                        134d
default     neo4j-bolt-virtualservice           ["neo4j-gateway"]               ["*"]                        134d
default     neo4j-virtualservice                ["dashboards-gateway-1"]        ["neo4j.oss"]                134d
default     ollama-virtualservice               ["dashboards-gateway-1"]        ["ollama.oss"]               134d
default     postgres-virtualservice             ["postgres-gateway"]            ["*"]                        134d
default     prometheus-virtualservice           ["dashboards-gateway-1"]        ["prometheus.oss"]           134d
default     qdrant-tcp-virtualservice           ["qdrant-gateway"]              ["*"]                        134d
default     qdrant-virtualservice               ["dashboards-gateway-1"]        ["qdrant.oss"]               134d
default     ray-cloud-1-dash-virtualservice     ["dashboards-gateway-1"]        ["ray.cloud.dash-1.oss"]     134d
default     ray-cloud-1-serve-virtualservice    ["dashboards-gateway-1"]        ["ray.cloud.serve-1.oss"]    134d
default     ray-hpc-1-dash-virtualservice       ["dashboards-gateway-1"]        ["ray.hpc.dash-1.oss"]       132d
default     ray-hpc-1-serve-virtualservice      ["dashboards-gateway-1"]        ["ray.hpc.serve-1.oss"]      132d
default     ray-hpc-2-dash-virtualservice       ["dashboards-gateway-1"]        ["ray.hpc.dash-2.oss"]       132d
default     ray-hpc-2-serve-virtualservice      ["dashboards-gateway-1"]        ["ray.hpc.serve-2.oss"]      132d
default     ray-hpc-3-dash-virtualservice       ["dashboards-gateway-1"]        ["ray.hpc.dash-3.oss"]       132d
default     ray-hpc-3-serve-virtualservice      ["dashboards-gateway-1"]        ["ray.hpc.serve-3.oss"]      132d
default     ray-local-1-dash-virtualservice     ["dashboards-gateway-1"]        ["ray.local.dash-1.oss"]     134d
default     ray-local-1-serve-virtualservice    ["dashboards-gateway-1"]        ["ray.local.serve-1.oss"]    134d
default     ray-local-2-dash-virtualservice     ["dashboards-gateway-1"]        ["ray.local.dash-2.oss"]     134d
default     ray-local-2-serve-virtualservice    ["dashboards-gateway-1"]        ["ray.local.serve-2.oss"]    134d
default     ray-local-3-dash-virtualservice     ["dashboards-gateway-1"]        ["ray.local.dash-3.oss"]     134d
default     ray-local-3-serve-virtualservice    ["dashboards-gateway-1"]        ["ray.local.serve-3.oss"]    134d
default     redis-virtualservice                ["redis-gateway"]               ["*"]                        134d
default     webui-virtualservice                ["dashboards-gateway-1"]        ["webui.oss"]                134d
mlflow      mlflow                              ["kubeflow/kubeflow-gateway"]   ["*"]                        139d
